"","Project","Site","Collection_no","Phytotron_ID..Ap_GXL.","Species..varying.ID.sources...Bernice.if.different.from.original.ID.","Locale","State","Extractor","DNA.extracted","RAD_lane","Barcode_well","Qubit.quantification..ng.ul.","Total.amt..ng.","Box","order"
"1","ANBE","AHF","1","","picea","Harvard Forest","MA","SHC","10/2/14","ddRAD5","D8",27,945,"1",66
"2","ANBE","AHF","2","","picea","Harvard Forest","MA","Skye L","10/9/14","ddRAD5","C9",14,490,"1",73
"3","ANBE","AHF","3","","picea","Harvard Forest","MA","Skye L","10/16/14","ddRAD5","B10",10.4,364,"1",80
"5","ANBE","AHW","2","","rudis","Hitchcock Woods","SC","SHC & Skye L","10/24/14","ddRAD4","D11",6.87,240.45,"1",86
"6","ANBE","AHW","3","","rudis","Hitchcock Woods","SC","Skye L","11/13/14","ddRAD4","A1",13,455,"2",1
"9","ANBE","AHW","7","","fulva","Hitchcock Woods","SC","SHC","9/7/14","ddRAD4","C7",14.8,518,"1",53
"10","ANBE","Ala","1","","miamiana","Alachua Co","FL","","","ddRAD7","A4",NA,NA,"Frozen",17
"11","ANBE","Ala","2","","miamiana","Alachua Co","FL","","","ddRAD7","D1",NA,NA,"Frozen",18
"12","ANBE","Ala","3","","miamiana","Alachua Co","FL","","","ddRAD7","D2",NA,NA,"Frozen",19
"13","ANBE","Ala","4","","miamiana","Alachua Co","FL","","","ddRAD6","C3",NA,NA,"Frozen",20
"14","ANBE","Ala","5","","miamiana","Alachua Co","FL","","","ddRAD6","D3",NA,NA,"Frozen",21
"16","Phyt","APB","3","20-B/C","picea","Albany Pine Bush","NY","","","ddRAD3","B9",NA,NA,"EtOH",3
"21","Phyt","APB","8","20-D","picea","Albany Pine Bush","NY","","","ddRAD3","B8",NA,NA,"EtOH",2
"23","Phyt","APB","10","20-A","picea","Albany","NY","SHC","8/30/14","ddRAD3","D2",9.26,324.1,"1",34
"26","Phyt","APB","3b","20-C","picea","Albany Pine Bush","NY","SHC","9/7/14","ddRAD3","D3",10.4,364,"1",47
"27","Bernice","Aphash","12","","ashmeadi","Pullen Park, Wake Co.","NC","","","ddRAD7","D10",NA,NA,"EtOH",62
"31","Bernice","Aphful","13","","fulva","Hennepin Canal near town of Rock Falls","IL","","","ddRAD7","D9",NA,NA,"EtOH",66
"38","Bernice","Aphmia","5","","miamiana","Bladen Lakes State Forest nr river","NC","","","ddRAD6","C11",NA,NA,"EtOH",70
"41","Bernice","Aphpic","30","","picea","Lieber Rec.l Area, Covered Bridge Trail","IN","","","ddRAD7","A8",NA,NA,"EtOH",73
"42","Bernice","Aphpic","32","","picea","Pinery Provincial Park","ON","","","ddRAD8","A1",NA,NA,"EtOH",74
"43","Bernice","Aphrud","6","","rudis","McIntyre Park","VA","","","ddRAD6","C7",NA,NA,"EtOH",79
"44","Bernice","Aphrud","14","","picea","Rondeau Provincial Park","ON","","","ddRAD7","C8",NA,NA,"EtOH",75
"45","Bernice","Aphrud","16","","rudis","Wayne Naional Forest, Wildcat trail","OH","","","ddRAD6","A7",NA,NA,"EtOH",77
"46","Bernice","Aphrud","45","","rudis","Lieber Rec.l Area, Covered Bridge Trail","IN","","","ddRAD6","B7",NA,NA,"EtOH",78
"47","Bernice","Aphrud","48","","rudis","Duke Forest Warming Project","NC","","","ddRAD7","D8",NA,NA,"EtOH",76
"54","Phyt","BARD","3","17-C","picea","Bard College","NY","SHC","7/7/14","ddRAD1","A9",NA,NA,"",NA
"56","Pop genomics","BARD","5","","fulva","Bard College","NY","SHC","7/10/14","ddRAD1","D2",NA,NA,"",NA
"59","Phyt","Bard","9","17-B","picea","Red Hook","NY","SHC","8/30/14","ddRAD3","D4",14.7,514.5,"1",38
"60","Phyt","Bard","10","17-A","picea","Red Hook","NY","SHC","8/30/14","ddRAD3","D5",15.4,539,"1",43
"64","Phyt","Bear","3","21-C","picea","Allenstown","NH","SHC","8/30/14","ddRAD3","D6",11.5,402.5,"1",32
"66","Phyt","Bear","5","21-B","picea","Allenstown","NH","","","ddRAD3","B11",NA,NA,"EtOH",5
"67","Phyt","Bear","6","21-A","picea","Allenstown","NH","","","ddRAD3","C2",NA,NA,"EtOH",8
