"Site","State","Lon","Lat"
"Harvard Forest","MA","-72.189722","42.531421"
"Hitchcock Woods","SC","-81.740413","33.548668"
"Alachua Co","FL","-82.301773","29.657955"
"Albany Pine Bush","NY","-73.864807","42.718662"
"Albany","NY","-73.756232","42.652579"
"Pullen Park, Wake Co.","NC","-78.662759","35.779292"
"Hennepin Canal near town of Rock Falls","IL","-89.693372","41.378245"
"Bladen Lakes State Forest nr river","NC","-78.595142","34.688531"
"Lieber Rec.l Area, Covered Bridge Trail","IN","-86.879946","39.477700"
"Pinery Provincial Park","ON","-81.827631","43.251923"
"McIntyre Park","VA","-78.475385","38.047297"
"Rondeau Provincial Park","ON","-81.866667","42.283333"
"Wayne Naional Forest, Wildcat trail","OH","-82.167349","39.402980"
"Duke Forest Warming Project","NC","-78.983046","36.020085"
"Bard College","NY","-73.910054","42.020390"
"Red Hook","NY","-73.875411","41.995092"
"Allenstown","NH","-71.404767","43.157785"
"Bradford","ME","-68.936610","45.067138"
"Bradley Public Lands","ME","-68.627610","44.916752"
"Black Rock Forest","NY","-74.009257","41.419898"
"Blue Ridge Parkway, high elevation","NC","-80.847700","36.592917"
"Blue Ridge Pkwy, Spruce Pine","NC","-82.050018","35.852875"
"Blue Ridge Parkway","NC","-80.129141","37.119973"
"Cabin John Park, Montgomery Co.","MD","-77.150232","39.034943"
"Greentown","PA","-75.305459","41.431755"
"Delaware State Park","PA","-75.086253","40.549406"
"Delaware State Park","NY","-75.086253","40.549406"
"Duke Forest Warming Project","NC","-78.983046","36.020085"
"Deans Woods","TN","-83.947883","35.921223"
"East Woods","VT","-73.195441","44.447162"
"Fort Bragg","NC","-79.007995","35.141455"
"Great Smoky Mountains National Park","TN","-83.489545","35.611764"
"Hickory Run State Park","PA","-75.676661","41.029287"
"White Haven","PA","-75.774082","41.060640"
"Ijams Nature Center","TN","-83.867902","35.956013"
"Kennebec Highlands","ME","-69.917716","44.549229"
"Key Heights","FL","?????????-82.031176","29.785325"
"Kite","GA","-82.514575","32.692384"
"Lexington","VA","-79.442816","37.784021"
"Longleaf Flatwoods Reserve","FL","-82.198692","29.554268"
"Lynchburg (Black Water Creek park)","VA","-79.164732","37.402771"
"Lynchburg","VA","-79.142247","37.413754"
"Mike's house","OH","-83.651323","41.374774"
"Molly Bog, Stowe","VT","-72.632703","44.512071"
"Molly Bog","VT","-72.632703","44.512071"
"Silver Lake","NH","-71.175348","43.888129"
"Neshamany State Park","PA","-74.916054","40.078981"
"PopPop","PA","",""
"Raleigh Chambers","NC","-78.983046","36.020085"
"Raleigh Chambers, Duke forest","NC","-78.983046","36.020085"
"Rugar Woods, SUNY Plattsburgh","NY","-73.511053","44.680270"
"Rugar Woods, Plattsburgh","NY","-73.511053","44.680270"
"Sebago Lake State Park","ME","-70.576563","43.922271"
"Uwharrie National Forest","NC","-80.043384","35.310640"
"Uwharrie National Forest, Troy","NY","",""
"William Penn","PA","-75.791373","40.204923"
"Yates Mill","NC","-78.685693","35.721626"
