"BioProject Accession","Release Date"
"PRJNA45797","2011/02/04"
"PRJNA45799","2011/06/07"
"PRJNA48091","2010/05/11"
"PRJNA49629","2011/02/03"
"PRJNA50203","2010/08/27"
"PRJNA50201","2010/08/27"
"PRJNA62733","2011/04/14"
"PRJNA269328","2015/07/02"
"PRJDB3517","2015/03/03"
"PRJDB3443","2015/02/05"
"PRJDB3164","2015/02/06"
"PRJNA301625","2015/10/13"
"PRJNA343260","2016/03/17"
"PRJNA343963","2016/03/17"
"PRJNA343972","2016/03/17"
"PRJNA343973","2016/03/17"
"PRJNA343251","2016/03/17"
"PRJNA377720","2017/02/23"
"PRJNA275884","2014/03/31"
