"","ID","Metric","Value"
"1","SM-AJDMW","#Name","assembly"
"2","SM-AJDMW","Assembler","assembler"
"3","SM-AJDMW","Contigs","41469"
"4","SM-AJDMW","MaxContig","212280"
"5","SM-AJDMW","MeanContig","6359"
"6","SM-AJDMW","ContigN50","15622"
"7","SM-AJDMW","ContigN90","2556"
"8","SM-AJDMW","TotalContigLength","263698353"
"9","SM-AJDMW","AssemblyGC","38.25"
"10","SM-AJDMW","Scaffolds","7404"
"11","SM-AJDMW","MaxScaffold","2388422"
"12","SM-AJDMW","MeanScaffold","53405"
"13","SM-AJDMW","ScaffoldN50","300103"
"14","SM-AJDMW","ScaffoldN90","22977"
"15","SM-AJDMW","TotalScaffoldLength","395412201"
"16","SM-AJDMW","CapturedGaps","34065"
"17","SM-AJDMW","MaxGap","18586"
"18","SM-AJDMW","MeanGap","3867"
"19","SM-AJDMW","GapN50","6417"
"20","SM-AJDMW","TotalGapLength","131713848"
"21","SM-AJDMW","Percent.Ants","NaN"
"22","SM-AZXXM","#Name","assembly"
"23","SM-AZXXM","Assembler","assembler"
"24","SM-AZXXM","Contigs","41980"
"25","SM-AZXXM","MaxContig","255423"
"26","SM-AZXXM","MeanContig","6692"
"27","SM-AZXXM","ContigN50","18941"
"28","SM-AZXXM","ContigN90","2655"
"29","SM-AZXXM","TotalContigLength","280950875"
"30","SM-AZXXM","AssemblyGC","37.88"
"31","SM-AZXXM","Scaffolds","7665"
"32","SM-AZXXM","MaxScaffold","3160209"
"33","SM-AZXXM","MeanScaffold","56061"
"34","SM-AZXXM","ScaffoldN50","269776"
"35","SM-AZXXM","ScaffoldN90","23374"
"36","SM-AZXXM","TotalScaffoldLength","429703865"
"37","SM-AZXXM","CapturedGaps","34315"
"38","SM-AZXXM","MaxGap","24564"
"39","SM-AZXXM","MeanGap","4335"
"40","SM-AZXXM","GapN50","8094"
"41","SM-AZXXM","TotalGapLength","148752990"
"42","SM-AZXXM","Percent.Ants","NaN"
"43","SM-AZXXN","#Name","assembly"
"44","SM-AZXXN","Assembler","assembler"
"45","SM-AZXXN","Contigs","43230"
"46","SM-AZXXN","MaxContig","495100"
"47","SM-AZXXN","MeanContig","6035"
"48","SM-AZXXN","ContigN50","15430"
"49","SM-AZXXN","ContigN90","2323"
"50","SM-AZXXN","TotalContigLength","260894196"
"51","SM-AZXXN","AssemblyGC","38.32"
"52","SM-AZXXN","Scaffolds","6808"
"53","SM-AZXXN","MaxScaffold","2739006"
"54","SM-AZXXN","MeanScaffold","56704"
"55","SM-AZXXN","ScaffoldN50","322984"
"56","SM-AZXXN","ScaffoldN90","23805"
"57","SM-AZXXN","TotalScaffoldLength","386042929"
"58","SM-AZXXN","CapturedGaps","36422"
"59","SM-AZXXN","MaxGap","14952"
"60","SM-AZXXN","MeanGap","3436"
"61","SM-AZXXN","GapN50","6957"
"62","SM-AZXXN","TotalGapLength","125148733"
"63","SM-AZXXN","Percent.Ants","NaN"
"64","SM-AZXXO","#Name","assembly"
"65","SM-AZXXO","Assembler","assembler"
"66","SM-AZXXO","Contigs","35723"
"67","SM-AZXXO","MaxContig","280312"
"68","SM-AZXXO","MeanContig","7418"
"69","SM-AZXXO","ContigN50","20738"
"70","SM-AZXXO","ContigN90","3067"
"71","SM-AZXXO","TotalContigLength","264997948"
"72","SM-AZXXO","AssemblyGC","38.21"
"73","SM-AZXXO","Scaffolds","6920"
"74","SM-AZXXO","MaxScaffold","3132550"
"75","SM-AZXXO","MeanScaffold","49515"
"76","SM-AZXXO","ScaffoldN50","351517"
"77","SM-AZXXO","ScaffoldN90","19945"
"78","SM-AZXXO","TotalScaffoldLength","342640954"
"79","SM-AZXXO","CapturedGaps","28803"
"80","SM-AZXXO","MaxGap","11453"
"81","SM-AZXXO","MeanGap","2696"
"82","SM-AZXXO","GapN50","5363"
"83","SM-AZXXO","TotalGapLength","77643006"
"84","SM-AZXXO","Percent.Ants","NaN"
"85","SM-AZXXP","#Name","assembly"
"86","SM-AZXXP","Assembler","assembler"
"87","SM-AZXXP","Contigs","39913"
"88","SM-AZXXP","MaxContig","260274"
"89","SM-AZXXP","MeanContig","6132"
"90","SM-AZXXP","ContigN50","15753"
"91","SM-AZXXP","ContigN90","2393"
"92","SM-AZXXP","TotalContigLength","244731216"
"93","SM-AZXXP","AssemblyGC","38.39"
"94","SM-AZXXP","Scaffolds","7031"
"95","SM-AZXXP","MaxScaffold","2310520"
"96","SM-AZXXP","MeanScaffold","49230"
"97","SM-AZXXP","ScaffoldN50","255328"
"98","SM-AZXXP","ScaffoldN90","20002"
"99","SM-AZXXP","TotalScaffoldLength","346133187"
"100","SM-AZXXP","CapturedGaps","32882"
"101","SM-AZXXP","MaxGap","12104"
"102","SM-AZXXP","MeanGap","3084"
"103","SM-AZXXP","GapN50","5800"
"104","SM-AZXXP","TotalGapLength","101401971"
"105","SM-AZXXP","Percent.Ants","NaN"
"106","SM-AZXXQ","#Name","assembly"
"107","SM-AZXXQ","Assembler","assembler"
"108","SM-AZXXQ","Contigs","31442"
"109","SM-AZXXQ","MaxContig","379645"
"110","SM-AZXXQ","MeanContig","8035"
"111","SM-AZXXQ","ContigN50","21672"
"112","SM-AZXXQ","ContigN90","3476"
"113","SM-AZXXQ","TotalContigLength","252638048"
"114","SM-AZXXQ","AssemblyGC","38.27"
"115","SM-AZXXQ","Scaffolds","5087"
"116","SM-AZXXQ","MaxScaffold","2851577"
"117","SM-AZXXQ","MeanScaffold","61005"
"118","SM-AZXXQ","ScaffoldN50","336807"
"119","SM-AZXXQ","ScaffoldN90","25105"
"120","SM-AZXXQ","TotalScaffoldLength","310331833"
"121","SM-AZXXQ","CapturedGaps","26355"
"122","SM-AZXXQ","MaxGap","13070"
"123","SM-AZXXQ","MeanGap","2189"
"124","SM-AZXXQ","GapN50","4760"
"125","SM-AZXXQ","TotalGapLength","57693785"
"126","SM-AZXXQ","Percent.Ants","NaN"
"127","SM-AZXXR","#Name","assembly"
"128","SM-AZXXR","Assembler","assembler"
"129","SM-AZXXR","Contigs","37282"
"130","SM-AZXXR","MaxContig","288835"
"131","SM-AZXXR","MeanContig","7375"
"132","SM-AZXXR","ContigN50","23448"
"133","SM-AZXXR","ContigN90","2892"
"134","SM-AZXXR","TotalContigLength","274962127"
"135","SM-AZXXR","AssemblyGC","38.03"
"136","SM-AZXXR","Scaffolds","6422"
"137","SM-AZXXR","MaxScaffold","4232139"
"138","SM-AZXXR","MeanScaffold","59616"
"139","SM-AZXXR","ScaffoldN50","439114"
"140","SM-AZXXR","ScaffoldN90","24296"
"141","SM-AZXXR","TotalScaffoldLength","382856007"
"142","SM-AZXXR","CapturedGaps","30860"
"143","SM-AZXXR","MaxGap","15108"
"144","SM-AZXXR","MeanGap","3496"
"145","SM-AZXXR","GapN50","7105"
"146","SM-AZXXR","TotalGapLength","107893880"
"147","SM-AZXXR","Percent.Ants","NaN"
