"","Contigs.","Max.Contig.","Mean.Contig.","Contig.N50.","Contig.N90.","Total.Contig.Length.","Assembly.GC.","Scaffolds.","Max.Scaffold.","Mean.Scaffold.","Scaffold.N50.","Scaffold.N90.","Total.Scaffold.Length.","Captured.Gaps.","Max.Gap.","Mean.Gap.","Gap.N50.","Total.Gap.Length."
"SM-AJDMW",41466,212280,6359,15622,2556,263699186,38.25,7404,2388422,53405,300103,22977,395412228,34062,18586,3867,6417,131713042
"SM-AZXXM",41978,255423,6693,18941,2655,280952533,37.88,7665,3160209,56061,269776,23374,429703886,34313,24564,4335,8094,148751353
"SM-AZXXN",43225,495100,6036,15440,2323,260895887,38.32,6808,2739006,56704,322984,23805,386042682,36417,14952,3436,6957,125146795
"SM-AZXXO",35721,280312,7419,20738,3068,264998519,38.21,6920,3132550,49515,351517,19945,342640932,28801,11453,2696,5363,77642413
"SM-AZXXP",39912,260274,6132,15753,2393,244731841,38.39,7031,2310520,49230,255328,20002,346133262,32881,12104,3084,5800,101401421
"SM-AZXXQ",31437,379645,8036,21677,3476,252639052,38.27,5087,2851577,61005,336807,25105,310331671,26350,13070,2189,4760,57692619
"SM-AZXXR",37280,288835,7376,23448,2892,274962692,38.03,6422,4232139,59616,439114,24296,382855934,30858,15108,3496,7105,107893242
