"#Organism/Name","TaxID","BioProject Accession","BioProject ID","Group","SubGroup","Size (Mb)","GC%","Assembly Accession","Replicons","WGS","Scaffolds","Genes","Proteins","Release Date","Modify Date","Status","Center","BioSample Accession"
"Pogonomyrmex barbatus","144034","PRJNA45797","45797","Animals","Insects","235.646","37.2","GCA_000187915.1","-","ADIH01","4645","12524","18978","2011/02/04","2014/08/06","Scaffold","The Ant Genomics Consortium","SAMN02953770"
"Linepithema humile","83485","PRJNA45799","45799","Animals","Insects","219.501","37.9","GCA_000217595.1","-","ADOQ01","3030","12976","21674","2011/06/07","2014/05/08","Scaffold","The Ant Genomics Consortium","SAMN02767796"
"Atta cephalotes","12957","PRJNA48091","48091","Animals","Insects","317.672","34.3992","GCA_000143395.2","mitochondrion MT:HQ415764.1","ADTU01","2835","11095","10657","2010/05/11","2014/08/06","Scaffold","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","SAMN02953774"
"Solenopsis invicta","13686","PRJNA49629","49629","Animals","Insects","396.025","37.4994","GCA_000188075.1","mitochondrion MT:NC_014672.1/HQ215538.1","AEAQ01","69511","15281","21118","2011/02/03","2014/08/06","Scaffold","Université de Lausanne","SAMN02953778"
